,X,group,group_method,group_gamification,project,lines,ncloc,comment_lines,classes,complexity,violations,blocker_violations,major_violations,minor_violations,info_violations,vulnerabilities,bugs,code_smells,duplicated_blocks,duplicated_lines,duplicated_lines_density,sqale_rating,sqale_index,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,tests,test_success_density,coverage,line_coverage,branch_coverage,overall_branch_coverage,conditions_to_cover,overall_conditions_to_cover,comment_density,smells_density,code_to_test
1,1,2014-2015,core,null,2014-2015-tds-a1:p4,724,475,84,6,112,61,2,9,46,0,0,7,54,0,0,0,1,161,1.1,0,69,100,83.1,91.4,69.8,69.8,116,116,0.150268336314848,0.113684210526316,0.145263157894737
2,2,2014-2015,core,null,2014-2015-tds-a10:p4,712,533,49,3,134,53,3,13,31,2,0,7,46,0,0,0,1,119,0.7,0,349,100,96.7,99.1,93,93,158,158,0.084192439862543,0.0863039399624766,0.654784240150094
3,3,2014-2015,core,null,2014-2015-tds-a11:p4,536,469,4,2,89,29,0,20,9,0,0,0,29,0,0,0,1,136,1,0,96,97.9,91.4,94.8,85.7,85.7,112,112,0.00845665961945032,0.0618336886993603,0.204690831556503
4,4,2014-2015,core,null,2014-2015-tds-a12:p4,1006,640,132,5,173,144,1,30,98,0,14,2,128,5,46,4.6,1,488,2.5,0,112,100,89.6,89,90.2,90.2,256,256,0.170984455958549,0.2,175
5,5,2014-2015,core,null,2014-2015-tds-a13:p4,825,539,117,3,127,103,0,42,37,0,0,1,102,0,0,0,2,1094,6.8,286,88,100,87.7,84.4,94.2,94.2,120,120,0.178353658536585,0.189239332096475,0.163265306122449
6,6,2014-2015,core,null,2014-2015-tds-a14:p4,807,535,137,3,82,34,0,24,4,0,0,0,34,0,0,0,1,270,1.7,0,83,100,88.9,86.4,94.8,94.8,96,96,0.203869047619048,0.0635514018691589,0.155140186915888
7,7,2014-2015,core,null,2014-2015-tds-a15:p4,1113,563,303,3,125,75,0,39,33,2,0,0,75,0,0,0,1,532,3.1,0,164,100,98.4,100,96.2,96.2,158,158,0.349884526558891,0.133214920071048,0.291296625222025
8,8,2014-2015,core,null,2014-2015-tds-a16:p4,838,473,123,5,105,68,0,17,46,0,0,3,65,0,0,0,1,234,1.6,0,89,100,96.4,98.4,92.9,92.9,98,98,0.206375838926175,0.137420718816068,0.18816067653277
9,9,2014-2015,core,null,2014-2015-tds-a17:p4,614,509,4,4,80,41,0,39,0,0,0,0,41,0,0,0,1,265,1.7,0,75,100,83.4,81.4,88.1,88.1,84,84,0.00779727095516569,0.0805500982318271,0.147347740667976
10,10,2014-2015,core,null,2014-2015-tds-a18:p4,539,477,11,2,94,39,0,24,12,0,0,3,36,0,0,0,1,149,1,0,92,97.8,92.4,97.3,84.7,84.7,118,118,0.0225409836065574,0.0754716981132075,0.192872117400419
11,11,2014-2015,core,null,2014-2015-tds-a19:p4,561,491,7,3,88,59,0,25,33,0,0,1,58,0,0,0,1,251,1.7,0,124,95.2,89.2,92,84.7,84.7,118,118,0.0140562248995984,0.118126272912424,0.252545824847251
12,12,2014-2015,core,null,2014-2015-tds-a2:p4,634,530,22,3,90,82,0,31,50,0,0,1,81,0,0,0,1,349,2.2,0,199,91,69.2,67.4,73,73,100,100,0.0398550724637681,0.152830188679245,0.375471698113208
13,13,2014-2015,core,null,2014-2015-tds-a20:p4,1166,703,195,3,108,66,0,45,16,0,0,0,66,0,0,0,1,422,2,0,208,92.3,91.4,94.2,85.2,85.2,142,142,0.217149220489978,0.0938833570412518,0.295874822190612
14,14,2014-2015,core,null,2014-2015-tds-a21:p4,868,579,114,3,98,63,0,50,11,1,0,1,62,0,0,0,1,400,2.3,0,126,96.8,79.7,74.9,89.8,89.8,128,128,0.164502164502165,0.107081174438687,0.217616580310881
15,15,2014-2015,core,null,2014-2015-tds-a22:p4,483,387,4,3,76,35,0,21,14,0,0,0,35,0,0,0,1,222,1.9,0,93,100,80,79.5,80.6,80.6,98,98,0.010230179028133,0.0904392764857881,0.24031007751938
16,16,2014-2015,core,null,2014-2015-tds-a23:p4,699,592,13,5,126,21,0,11,9,0,0,1,20,0,0,0,1,47,0.3,0,248,99.2,92.1,90,95.2,95.2,168,168,0.0214876033057851,0.0337837837837838,0.418918918918919
17,17,2014-2015,core,null,2014-2015-tds-a24:p4,613,520,4,3,102,102,0,38,64,0,0,0,102,0,0,0,1,396,2.5,0,138,100,93.2,93.4,92.8,92.8,153,153,0.00763358778625954,0.196153846153846,0.265384615384615
18,18,2014-2015,core,null,2014-2015-tds-a3:p4,568,471,4,5,83,90,0,21,36,0,0,1,89,0,0,0,2,881,6.2,175,166,100,97.5,98.9,95,95,100,100,0.00842105263157895,0.18895966029724,0.35244161358811
19,19,2014-2015,core,null,2014-2015-tds-a4:p4,581,495,16,3,75,45,0,29,15,0,0,1,44,0,0,0,1,248,1.7,0,16,100,65.1,66.4,61.9,61.9,84,84,0.0313111545988258,0.0888888888888889,0.0323232323232323
20,20,2014-2015,core,null,2014-2015-tds-a6:p4,915,606,123,6,141,58,3,24,28,2,0,4,54,0,0,0,1,224,1.2,0,270,100,91.4,87.5,97.8,97.8,184,184,0.168724279835391,0.0891089108910891,0.445544554455446
